"id";"miasto";"temp";"opady"
1;"Katowice";19;0,1689193021281602
2;"Kraków";4;0,10493955991726855
3;"Kraków";30;0,4703389169989143
4;"Wroc³aw";20;0,28602731067706977
5;"Poznañ";21;0,006503135376896618
6;"Kraków";14;0,5472563220874015
7;"Wroc³aw";20;0,7466793103419315
8;"Gdañsk";3;0,35055066042194494
9;"Warszawa";24;0,5122826020956174
10;"Poznañ";27;0,9325909375510755
11;"Gdañsk";13;0,6251215959975918
12;"Poznañ";2;0,776051252186391
13;"Poznañ";18;0,8701415137550615
14;"Poznañ";8;0,774401546475409
15;"Wroc³aw";22;0,6859766550171569
16;"Poznañ";7;0,8692868871540039
17;"Wroc³aw";21;0,6768864935675034
18;"Poznañ";12;0,054558481347494414
19;"Wroc³aw";24;0,047390177711799875
20;"Wroc³aw";11;0,3735237835076679
21;"Warszawa";14;0,9744537889894862
22;"Poznañ";30;0,11076731367551718
23;"Wroc³aw";20;0,016269518376338055
24;"Kraków";18;0,6369682116147075
25;"Warszawa";27;0,814355494616131
26;"Poznañ";12;0,49298752016394454
27;"Poznañ";9;0,9981526790175667
28;"Poznañ";29;0,3789050929960215
29;"Wroc³aw";22;0,782071936445633
30;"Katowice";13;0,4212619964046339
31;"Warszawa";3;0,27322968926075764
32;"Poznañ";17;0,496389435897046
33;"Gdañsk";19;0,10761143914798055
34;"Katowice";7;0,3456622170554112
35;"Gdañsk";12;0,14602586867566358
36;"Wroc³aw";10;0,17351119330169285
37;"Katowice";16;0,021433159145924252
38;"Kraków";30;0,05322774541760655
39;"Katowice";23;0,38678702449584146
40;"Kraków";9;0,7352864425966497
41;"Warszawa";13;0,07390438289611478
42;"Gdañsk";15;0,9357828084676184
43;"Katowice";10;0,7367257255839919
44;"Warszawa";8;0,8067664810968536
45;"Katowice";29;0,5731579194307327
46;"Katowice";7;0,19887311855592893
47;"Poznañ";27;0,11446080233174538
48;"Kraków";21;0,4126579593578604
49;"Warszawa";25;0,36220636966200337
50;"Gdañsk";0;0,16173723086999425
51;"Poznañ";24;0,9531295257544504
52;"Gdañsk";14;0,6419663757262085
53;"Wroc³aw";3;0,9947971768683297
54;"Kraków";19;0,46084591750275505
55;"Poznañ";22;0,5758484182740053
56;"Kraków";22;0,5145874304359842
57;"Katowice";15;0,9956701296922129
58;"Katowice";10;0,8127667175173968
59;"Kraków";10;0,2626034249317156
60;"Katowice";23;0,39085944309219844
61;"Poznañ";11;0,04011190077508653
62;"Kraków";18;0,5813137309869337
63;"Katowice";18;0,4445703682935388
64;"Wroc³aw";28;0,24524775094964724
65;"Wroc³aw";6;0,8703222134545521
66;"Poznañ";12;0,4649428665930774
67;"Gdañsk";27;0,8910487044553401
68;"Poznañ";17;0,04799445223491583
69;"Wroc³aw";30;0,07376036726858659
70;"Kraków";8;0,88821545317108
71;"Katowice";21;0,4742506477258126
72;"Wroc³aw";30;0,5480493924172721
73;"Poznañ";19;0,606472570263827
74;"Kraków";6;0,5706847174671724
75;"Gdañsk";12;0,07817027678695776
76;"Katowice";28;0,4278930409416939
77;"Wroc³aw";27;0,5242772026252609
78;"Warszawa";4;0,5892955224266059
79;"Wroc³aw";15;0,9854925346390602
80;"Gdañsk";30;0,8197535458135831
81;"Katowice";29;0,641401596882353
82;"Gdañsk";19;0,42455047385781086
83;"Katowice";1;0,5859091799579467
84;"Warszawa";3;0,9996587604409037
85;"Warszawa";29;0,8831238561756851
86;"Katowice";8;0,40998674703768556
87;"Poznañ";8;0,04808922063259513
88;"Kraków";19;0,2737428583270778
89;"Wroc³aw";15;0,25274522887143247
90;"Poznañ";24;0,06830203436330284
91;"Warszawa";26;0,6647853773923491
92;"Wroc³aw";7;0,44446105750861253
93;"Katowice";4;0,6189882866305726
94;"Poznañ";21;0,03649876688422404
95;"Gdañsk";14;0,46477555517959324
96;"Katowice";25;0,2532602472839497
97;"Wroc³aw";16;0,3338235829505868
98;"Katowice";25;0,6990660823664059
99;"Gdañsk";18;0,22111974820888924
100;"Wroc³aw";10;0,33418946637641933
